VAR,Variable,Measure,COU,Country,Year,Health_Performance_Value
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,PRT,Portugal,2018,22014
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,PRT,Portugal,2019,21615
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ROU,Romania,2018,91905
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ROU,Romania,2019,90737
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,SVK,Slovak Republic,2018,19385
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,SVK,Slovak Republic,2019,19100
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,SVN,Slovenia,2018,4912
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,SVN,Slovenia,2019,4843
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,SVN,Slovenia,2020,5483
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ZAF,South Africa,2018,238074
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ESP,Spain,2018,75687
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ESP,Spain,2019,74599
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ESP,Spain,2020,89186
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ESP,Spain,2021,85964
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,SWE,Sweden,2018,17040
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CHE,Switzerland,2018,11906
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CHE,Switzerland,2019,11578
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CHE,Switzerland,2020,12533
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,TUR,Türkiye,2018,148993
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,TUR,Türkiye,2019,143142
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,GBR,United Kingdom,2018,139499
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,GBR,United Kingdom,2019,137442
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,GBR,United Kingdom,2020,158761
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,USA,United States,2018,917832
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,USA,United States,2019,920265
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,USA,United States,2020,1149811
